,Unnamed: 0,ID,count,date,geometry,image,max,mean,median,min,percentile_25,percentile_75,std,observations,xdate,Month,SeasonalTrend,Trend,SeasonalForecast,SeasonalError_Pos,SeasonalError_Neg,Anomaly
0,0,1,1754,2016-07-01,"POLYGON ((-66.12710678390933 18.47352714355435, -66.08998102756394 18.4717012866849, -66.04494322478428 18.45648581277286, -66.01207780113425 18.44674790946915, -65.99381923243979 18.44857376633859, -65.97799513957126 18.44248757677378, -65.95060728652959 18.42301177016635, -65.94634695383421 18.38892910860337, -65.96582276044163 18.36336711243113, -65.9834727101796 18.33841373521538, -66.02546741817686 18.34328268686723, -66.06320179347873 18.32684997504222, -66.09971893086764 18.32198102339036, -66.12649816495285 18.33963097312834, -66.18066525207973 18.33537064043297, -66.20440139138252 18.32806721295518, -66.22813753068532 18.36032401764872, -66.22448581694641 18.41449110477561, -66.19040315538344 18.42057729434043, -66.1916203932964 18.45831166964231, -66.15632049382044 18.44005310094785, -66.15266878008156 18.45952890755527, -66.14049640095192 18.4619633833812, -66.12223783225747 18.44370481468674, -66.10763097730189 18.44735652842563, -66.12710678390933 18.47352714355435))",/Users/jshermeyer/CosmiqGit/CometTS/CometTS/VIIRS_Sample/SVDNB_npp_20160701-20160731_75N180W_vcmcfg_v10_c201609121310//SVDNB_npp_20160701-20160731_75N180W_vcmcfg_v10_c201609121310.avg_rade9_clip.tif,102.80462646484376,29.161987956600555,27.05558490753174,4.888601303100586,17.97502899169922,37.17810153961181,15.063332601152466,13.0,736146.0,7,1.013109927694741,29.812121137653776,30.202955890195277,32.5212865759983,27.88462520439225,
2,1,1,1754,2016-08-01,"POLYGON ((-66.12710678390933 18.47352714355435, -66.08998102756394 18.4717012866849, -66.04494322478428 18.45648581277286, -66.01207780113425 18.44674790946915, -65.99381923243979 18.44857376633859, -65.97799513957126 18.44248757677378, -65.95060728652959 18.42301177016635, -65.94634695383421 18.38892910860337, -65.96582276044163 18.36336711243113, -65.9834727101796 18.33841373521538, -66.02546741817686 18.34328268686723, -66.06320179347873 18.32684997504222, -66.09971893086764 18.32198102339036, -66.12649816495285 18.33963097312834, -66.18066525207973 18.33537064043297, -66.20440139138252 18.32806721295518, -66.22813753068532 18.36032401764872, -66.22448581694641 18.41449110477561, -66.19040315538344 18.42057729434043, -66.1916203932964 18.45831166964231, -66.15632049382044 18.44005310094785, -66.15266878008156 18.45952890755527, -66.14049640095192 18.4619633833812, -66.12223783225747 18.44370481468674, -66.10763097730189 18.44735652842563, -66.12710678390933 18.47352714355435))",/Users/jshermeyer/CosmiqGit/CometTS/CometTS/VIIRS_Sample/SVDNB_npp_20160801-20160831_75N180W_vcmcfg_v10_c201610041107//SVDNB_npp_20160801-20160831_75N180W_vcmcfg_v10_c201610041107.avg_rade9_clip.tif,94.7266616821289,28.99434830552496,26.883687019348145,3.3010528087615967,17.261664867401127,37.840640068054206,15.895833312041153,11.0,736177.0,8,0.9999646439812042,29.686272303979422,29.685222715577865,32.00355340138089,27.36689202977484,
4,2,1,1754,2016-09-01,"POLYGON ((-66.12710678390933 18.47352714355435, -66.08998102756394 18.4717012866849, -66.04494322478428 18.45648581277286, -66.01207780113425 18.44674790946915, -65.99381923243979 18.44857376633859, -65.97799513957126 18.44248757677378, -65.95060728652959 18.42301177016635, -65.94634695383421 18.38892910860337, -65.96582276044163 18.36336711243113, -65.9834727101796 18.33841373521538, -66.02546741817686 18.34328268686723, -66.06320179347873 18.32684997504222, -66.09971893086764 18.32198102339036, -66.12649816495285 18.33963097312834, -66.18066525207973 18.33537064043297, -66.20440139138252 18.32806721295518, -66.22813753068532 18.36032401764872, -66.22448581694641 18.41449110477561, -66.19040315538344 18.42057729434043, -66.1916203932964 18.45831166964231, -66.15632049382044 18.44005310094785, -66.15266878008156 18.45952890755527, -66.14049640095192 18.4619633833812, -66.12223783225747 18.44370481468674, -66.10763097730189 18.44735652842563, -66.12710678390933 18.47352714355435))",/Users/jshermeyer/CosmiqGit/CometTS/CometTS/VIIRS_Sample/SVDNB_npp_20160901-20160930_75N180W_vcmcfg_v10_c201610280941//SVDNB_npp_20160901-20160930_75N180W_vcmcfg_v10_c201610280941.avg_rade9_clip.tif,112.58544158935548,28.82978413735719,26.33736801147461,3.758977890014648,17.188711643218994,37.145733833312995,15.924946799530144,13.0,736208.0,9,0.9965597837168758,29.560423470305523,29.45872922014693,31.777059905949958,27.140398534343905,
6,3,1,1754,2016-10-01,"POLYGON ((-66.12710678390933 18.47352714355435, -66.08998102756394 18.4717012866849, -66.04494322478428 18.45648581277286, -66.01207780113425 18.44674790946915, -65.99381923243979 18.44857376633859, -65.97799513957126 18.44248757677378, -65.95060728652959 18.42301177016635, -65.94634695383421 18.38892910860337, -65.96582276044163 18.36336711243113, -65.9834727101796 18.33841373521538, -66.02546741817686 18.34328268686723, -66.06320179347873 18.32684997504222, -66.09971893086764 18.32198102339036, -66.12649816495285 18.33963097312834, -66.18066525207973 18.33537064043297, -66.20440139138252 18.32806721295518, -66.22813753068532 18.36032401764872, -66.22448581694641 18.41449110477561, -66.19040315538344 18.42057729434043, -66.1916203932964 18.45831166964231, -66.15632049382044 18.44005310094785, -66.15266878008156 18.45952890755527, -66.14049640095192 18.4619633833812, -66.12223783225747 18.44370481468674, -66.10763097730189 18.44735652842563, -66.12710678390933 18.47352714355435))",/Users/jshermeyer/CosmiqGit/CometTS/CometTS/VIIRS_Sample/SVDNB_npp_20161001-20161031_75N180W_vcmcfg_v10_c201612011122//SVDNB_npp_20161001-20161031_75N180W_vcmcfg_v10_c201612011122.avg_rade9_clip.tif,103.27326202392578,28.96378919037065,26.64177227020264,2.7625062465667725,17.207043170928955,37.56872653961181,16.01071142536635,10.0,736238.0,10,1.0251826544594689,29.438634276427365,30.17997723116931,32.49830791697234,27.861646545366284,
8,4,1,1754,2016-11-01,"POLYGON ((-66.12710678390933 18.47352714355435, -66.08998102756394 18.4717012866849, -66.04494322478428 18.45648581277286, -66.01207780113425 18.44674790946915, -65.99381923243979 18.44857376633859, -65.97799513957126 18.44248757677378, -65.95060728652959 18.42301177016635, -65.94634695383421 18.38892910860337, -65.96582276044163 18.36336711243113, -65.9834727101796 18.33841373521538, -66.02546741817686 18.34328268686723, -66.06320179347873 18.32684997504222, -66.09971893086764 18.32198102339036, -66.12649816495285 18.33963097312834, -66.18066525207973 18.33537064043297, -66.20440139138252 18.32806721295518, -66.22813753068532 18.36032401764872, -66.22448581694641 18.41449110477561, -66.19040315538344 18.42057729434043, -66.1916203932964 18.45831166964231, -66.15632049382044 18.44005310094785, -66.15266878008156 18.45952890755527, -66.14049640095192 18.4619633833812, -66.12223783225747 18.44370481468674, -66.10763097730189 18.44735652842563, -66.12710678390933 18.47352714355435))",/Users/jshermeyer/CosmiqGit/CometTS/CometTS/VIIRS_Sample/SVDNB_npp_20161101-20161130_75N180W_vcmcfg_v10_c201612191231//SVDNB_npp_20161101-20161130_75N180W_vcmcfg_v10_c201612191231.avg_rade9_clip.tif,115.8080062866211,26.96338894932681,24.96468734741211,2.561760663986206,16.405586242675778,34.830041885375984,14.636647648496599,7.0,736269.0,11,0.9303127557916689,29.31278544275301,27.27005820517747,29.588388890980497,24.951727519374444,
10,5,1,1754,2016-12-01,"POLYGON ((-66.12710678390933 18.47352714355435, -66.08998102756394 18.4717012866849, -66.04494322478428 18.45648581277286, -66.01207780113425 18.44674790946915, -65.99381923243979 18.44857376633859, -65.97799513957126 18.44248757677378, -65.95060728652959 18.42301177016635, -65.94634695383421 18.38892910860337, -65.96582276044163 18.36336711243113, -65.9834727101796 18.33841373521538, -66.02546741817686 18.34328268686723, -66.06320179347873 18.32684997504222, -66.09971893086764 18.32198102339036, -66.12649816495285 18.33963097312834, -66.18066525207973 18.33537064043297, -66.20440139138252 18.32806721295518, -66.22813753068532 18.36032401764872, -66.22448581694641 18.41449110477561, -66.19040315538344 18.42057729434043, -66.1916203932964 18.45831166964231, -66.15632049382044 18.44005310094785, -66.15266878008156 18.45952890755527, -66.14049640095192 18.4619633833812, -66.12223783225747 18.44370481468674, -66.10763097730189 18.44735652842563, -66.12710678390933 18.47352714355435))",/Users/jshermeyer/CosmiqGit/CometTS/CometTS/VIIRS_Sample/SVDNB_npp_20161201-20161231_75N180W_vcmcfg_v10_c201701271136//SVDNB_npp_20161201-20161231_75N180W_vcmcfg_v10_c201701271136.avg_rade9_clip.tif,100.54730987548828,31.022255095951643,28.78030204772949,2.8346881866455083,19.33963251113892,39.55798530578613,16.235733178512028,16.0,736299.0,12,1.0284236336421975,29.190996248874853,30.020710431903634,32.33904111770666,27.702379746100608,
12,6,1,1754,2017-01-01,"POLYGON ((-66.12710678390933 18.47352714355435, -66.08998102756394 18.4717012866849, -66.04494322478428 18.45648581277286, -66.01207780113425 18.44674790946915, -65.99381923243979 18.44857376633859, -65.97799513957126 18.44248757677378, -65.95060728652959 18.42301177016635, -65.94634695383421 18.38892910860337, -65.96582276044163 18.36336711243113, -65.9834727101796 18.33841373521538, -66.02546741817686 18.34328268686723, -66.06320179347873 18.32684997504222, -66.09971893086764 18.32198102339036, -66.12649816495285 18.33963097312834, -66.18066525207973 18.33537064043297, -66.20440139138252 18.32806721295518, -66.22813753068532 18.36032401764872, -66.22448581694641 18.41449110477561, -66.19040315538344 18.42057729434043, -66.1916203932964 18.45831166964231, -66.15632049382044 18.44005310094785, -66.15266878008156 18.45952890755527, -66.14049640095192 18.4619633833812, -66.12223783225747 18.44370481468674, -66.10763097730189 18.44735652842563, -66.12710678390933 18.47352714355435))",/Users/jshermeyer/CosmiqGit/CometTS/CometTS/VIIRS_Sample/SVDNB_npp_20170101-20170131_75N180W_vcmcfg_v10_c201702241223//SVDNB_npp_20170101-20170131_75N180W_vcmcfg_v10_c201702241223.avg_rade9_clip.tif,113.96332550048828,32.50893644025144,30.05718231201172,3.260960578918457,19.688395977020267,41.86830139160156,17.671316012708594,15.0,736330.0,1,1.0564158895259572,29.0651474152005,30.704883560832112,33.023214246635135,28.386552875029086,
14,7,1,1754,2017-02-01,"POLYGON ((-66.12710678390933 18.47352714355435, -66.08998102756394 18.4717012866849, -66.04494322478428 18.45648581277286, -66.01207780113425 18.44674790946915, -65.99381923243979 18.44857376633859, -65.97799513957126 18.44248757677378, -65.95060728652959 18.42301177016635, -65.94634695383421 18.38892910860337, -65.96582276044163 18.36336711243113, -65.9834727101796 18.33841373521538, -66.02546741817686 18.34328268686723, -66.06320179347873 18.32684997504222, -66.09971893086764 18.32198102339036, -66.12649816495285 18.33963097312834, -66.18066525207973 18.33537064043297, -66.20440139138252 18.32806721295518, -66.22813753068532 18.36032401764872, -66.22448581694641 18.41449110477561, -66.19040315538344 18.42057729434043, -66.1916203932964 18.45831166964231, -66.15632049382044 18.44005310094785, -66.15266878008156 18.45952890755527, -66.14049640095192 18.4619633833812, -66.12223783225747 18.44370481468674, -66.10763097730189 18.44735652842563, -66.12710678390933 18.47352714355435))",/Users/jshermeyer/CosmiqGit/CometTS/CometTS/VIIRS_Sample/SVDNB_npp_20170201-20170228_75N180W_vcmcfg_v10_c201703012030//SVDNB_npp_20170201-20170228_75N180W_vcmcfg_v10_c201703012030.avg_rade9_clip.tif,86.5281982421875,28.78738326724606,26.558247566223145,3.6880795955657963,17.418447971343994,36.51873397827149,14.981453197663994,12.0,736361.0,2,0.9373324058706763,28.9392985815266,27.12574236363218,29.444073049435207,24.807411677829155,
16,8,1,1754,2017-03-01,"POLYGON ((-66.12710678390933 18.47352714355435, -66.08998102756394 18.4717012866849, -66.04494322478428 18.45648581277286, -66.01207780113425 18.44674790946915, -65.99381923243979 18.44857376633859, -65.97799513957126 18.44248757677378, -65.95060728652959 18.42301177016635, -65.94634695383421 18.38892910860337, -65.96582276044163 18.36336711243113, -65.9834727101796 18.33841373521538, -66.02546741817686 18.34328268686723, -66.06320179347873 18.32684997504222, -66.09971893086764 18.32198102339036, -66.12649816495285 18.33963097312834, -66.18066525207973 18.33537064043297, -66.20440139138252 18.32806721295518, -66.22813753068532 18.36032401764872, -66.22448581694641 18.41449110477561, -66.19040315538344 18.42057729434043, -66.1916203932964 18.45831166964231, -66.15632049382044 18.44005310094785, -66.15266878008156 18.45952890755527, -66.14049640095192 18.4619633833812, -66.12223783225747 18.44370481468674, -66.10763097730189 18.44735652842563, -66.12710678390933 18.47352714355435))",/Users/jshermeyer/CosmiqGit/CometTS/CometTS/VIIRS_Sample/SVDNB_npp_20170301-20170331_75N180W_vcmcfg_v10_c201705020851//SVDNB_npp_20170301-20170331_75N180W_vcmcfg_v10_c201705020851.avg_rade9h_clip.tif,116.0199966430664,30.839777647973193,28.420000076293945,3.3299999237060547,17.959999084472656,40.63499927520753,16.911002547455336,13.0,736389.0,3,1.020348810665197,28.825628667239926,29.412195927294867,31.730526613097894,27.09386524149184,
18,9,1,1754,2017-04-01,"POLYGON ((-66.12710678390933 18.47352714355435, -66.08998102756394 18.4717012866849, -66.04494322478428 18.45648581277286, -66.01207780113425 18.44674790946915, -65.99381923243979 18.44857376633859, -65.97799513957126 18.44248757677378, -65.95060728652959 18.42301177016635, -65.94634695383421 18.38892910860337, -65.96582276044163 18.36336711243113, -65.9834727101796 18.33841373521538, -66.02546741817686 18.34328268686723, -66.06320179347873 18.32684997504222, -66.09971893086764 18.32198102339036, -66.12649816495285 18.33963097312834, -66.18066525207973 18.33537064043297, -66.20440139138252 18.32806721295518, -66.22813753068532 18.36032401764872, -66.22448581694641 18.41449110477561, -66.19040315538344 18.42057729434043, -66.1916203932964 18.45831166964231, -66.15632049382044 18.44005310094785, -66.15266878008156 18.45952890755527, -66.14049640095192 18.4619633833812, -66.12223783225747 18.44370481468674, -66.10763097730189 18.44735652842563, -66.12710678390933 18.47352714355435))",/Users/jshermeyer/CosmiqGit/CometTS/CometTS/VIIRS_Sample/SVDNB_npp_20170401-20170430_75N180W_vcmcfg_v10_c201705011300//SVDNB_npp_20170401-20170430_75N180W_vcmcfg_v10_c201705011300.avg_rade9_clip.tif,107.9251708984375,31.04705948555075,28.24060535430908,2.8803088665008545,18.18945407867432,40.435276985168464,17.19290722553213,10.0,736420.0,4,1.0284270067390255,28.699779833566026,29.515628668303357,31.833959354106383,27.19729798250033,
