,File,Mask,TS_Data,date,extent,obs
0,/NPPVIIRS/Unzipped/75N60W//SVDNB_npp_20161001-20161031_75N060W_vcmcfg_v10_c201612011122//SVDNB_npp_20161001-20161031_75N060W_vcmcfg_v10_c201612011122.avg_rade9.tif,/NPPVIIRS/Unzipped/75N60W//SVDNB_npp_20161001-20161031_75N060W_vcmcfg_v10_c201612011122//SVDNB_npp_20161001-20161031_75N060W_vcmcfg_v10_c201612011122.cf_cvg.tif,1,10/1/16,"[-60.00208333335, 75.00208333335, 59.99791762665001, 0.0020827333499937595]",0
1,/NPPVIIRS/Unzipped/75N60W//SVDNB_npp_20161001-20161031_75N060W_vcmcfg_v10_c201612011122//SVDNB_npp_20161001-20161031_75N060W_vcmcfg_v10_c201612011122.cf_cvg.tif,/NPPVIIRS/Unzipped/75N60W//SVDNB_npp_20161001-20161031_75N060W_vcmcfg_v10_c201612011122//SVDNB_npp_20161001-20161031_75N060W_vcmcfg_v10_c201612011122.cf_cvg.tif,0,10/1/16,"[-60.00208333335, 75.00208333335, 59.99791762665001, 0.0020827333499937595]",1
2,/NPPVIIRS/Unzipped/75N60W//SVDNB_npp_20121201-20121231_75N060W_vcmcfg_v10_c201601041440//SVDNB_npp_20121201-20121231_75N060W_vcmcfg_v10_c201601041440.avg_rade9.tif,/NPPVIIRS/Unzipped/75N60W//SVDNB_npp_20121201-20121231_75N060W_vcmcfg_v10_c201601041440//SVDNB_npp_20121201-20121231_75N060W_vcmcfg_v10_c201601041440.cf_cvg.tif,1,12/1/12,"[-60.00208333335, 75.00208333335, 59.99791762665001, 0.0020827333499937595]",0
3,/NPPVIIRS/Unzipped/75N60W//SVDNB_npp_20121201-20121231_75N060W_vcmcfg_v10_c201601041440//SVDNB_npp_20121201-20121231_75N060W_vcmcfg_v10_c201601041440.cf_cvg.tif,/NPPVIIRS/Unzipped/75N60W//SVDNB_npp_20121201-20121231_75N060W_vcmcfg_v10_c201601041440//SVDNB_npp_20121201-20121231_75N060W_vcmcfg_v10_c201601041440.cf_cvg.tif,0,12/1/12,"[-60.00208333335, 75.00208333335, 59.99791762665001, 0.0020827333499937595]",1
4,/NPPVIIRS/Unzipped/75N60W//SVDNB_npp_20151201-20151231_75N060W_vcmcfg_v10_c201601251413//SVDNB_npp_20151201-20151231_75N060W_vcmcfg_v10_c201601251413.avg_rade9.tif,/NPPVIIRS/Unzipped/75N60W//SVDNB_npp_20151201-20151231_75N060W_vcmcfg_v10_c201601251413//SVDNB_npp_20151201-20151231_75N060W_vcmcfg_v10_c201601251413.cf_cvg.tif,1,12/1/15,"[-60.00208333335, 75.00208333335, 59.99791762665001, 0.0020827333499937595]",0
5,/NPPVIIRS/Unzipped/75N60W//SVDNB_npp_20151201-20151231_75N060W_vcmcfg_v10_c201601251413//SVDNB_npp_20151201-20151231_75N060W_vcmcfg_v10_c201601251413.cf_cvg.tif,/NPPVIIRS/Unzipped/75N60W//SVDNB_npp_20151201-20151231_75N060W_vcmcfg_v10_c201601251413//SVDNB_npp_20151201-20151231_75N060W_vcmcfg_v10_c201601251413.cf_cvg.tif,0,12/1/15,"[-60.00208333335, 75.00208333335, 59.99791762665001, 0.0020827333499937595]",1
6,/NPPVIIRS/Unzipped/75N60W//SVDNB_npp_20150801-20150831_75N060W_vcmcfg_v10_c201509301759//SVDNB_npp_20150801-20150831_75N060W_vcmcfg_v10_c201509301759.avg_rade9.tif,/NPPVIIRS/Unzipped/75N60W//SVDNB_npp_20150801-20150831_75N060W_vcmcfg_v10_c201509301759//SVDNB_npp_20150801-20150831_75N060W_vcmcfg_v10_c201509301759.cf_cvg.tif,1,8/1/15,"[-60.00208333335, 75.00208333335, 59.99791762665001, 0.0020827333499937595]",0
7,/NPPVIIRS/Unzipped/75N60W//SVDNB_npp_20150801-20150831_75N060W_vcmcfg_v10_c201509301759//SVDNB_npp_20150801-20150831_75N060W_vcmcfg_v10_c201509301759.cf_cvg.tif,/NPPVIIRS/Unzipped/75N60W//SVDNB_npp_20150801-20150831_75N060W_vcmcfg_v10_c201509301759//SVDNB_npp_20150801-20150831_75N060W_vcmcfg_v10_c201509301759.cf_cvg.tif,0,8/1/15,"[-60.00208333335, 75.00208333335, 59.99791762665001, 0.0020827333499937595]",1
8,/NPPVIIRS/Unzipped/75N60W//SVDNB_npp_20120601-20120630_75N060W_vcmcfg_v10_c201605121459//SVDNB_npp_20120601-20120630_75N060W_vcmcfg_v10_c201605121459.avg_rade9.tif,/NPPVIIRS/Unzipped/75N60W//SVDNB_npp_20120601-20120630_75N060W_vcmcfg_v10_c201605121459//SVDNB_npp_20120601-20120630_75N060W_vcmcfg_v10_c201605121459.cf_cvg.tif,1,6/1/12,"[-60.00208333335, 75.00208333335, 59.99791762665001, 0.0020827333499937595]",0
9,/NPPVIIRS/Unzipped/75N60W//SVDNB_npp_20120601-20120630_75N060W_vcmcfg_v10_c201605121459//SVDNB_npp_20120601-20120630_75N060W_vcmcfg_v10_c201605121459.cf_cvg.tif,/NPPVIIRS/Unzipped/75N60W//SVDNB_npp_20120601-20120630_75N060W_vcmcfg_v10_c201605121459//SVDNB_npp_20120601-20120630_75N060W_vcmcfg_v10_c201605121459.cf_cvg.tif,0,6/1/12,"[-60.00208333335, 75.00208333335, 59.99791762665001, 0.0020827333499937595]",1
